value,key,tc,definition
ACORD 789 - Age Banded Rate Supplement,OLI_ATTACH_ACORD789,499,Used to provide additional details about the rates for the request for proposal.	
ACORD 790 - Reducing Benefit Duration Schedule,OLI_ATTACH_ACORD790,500,Used to provide additional details about the scheduling method as it applies to Long Term Disability for the request for proposal.	
ACORD 791 - Administrative Services & Fee Schedule - LTD,OLI_ATTACH_ACORD791,501,Used to provide additional details about the administrative services and fees as it applies to Long Term Disability for the request for proposal.	
ACORD 792 - Administrative Services & Fee Schedule - STD,OLI_ATTACH_ACORD792,502,Used to provide additional details about the administrative services and fees as it applies to Short Term Disability for the request for proposal.	
ACORD 821 - Producer Information Form,OLI_ATTACH_ACORD821,525,	
ACORD 951 - 1035 Exchange / Rollover / Transfer Form,OLI_ATTACH_ACORD951,73,	
ACORD 951E - 1035 Exch / Rollover / Transfer eForm,OLI_ATTACH_ACORD951E,547,ACORD 951E - 1035 Exchange / Rollover / Transfer eForm	
ACORD 960 ID - Idaho Annuity Disclosure,OLI_ATTACH_ACORD960,546,	
ACORD - Census Supplement,OLI_ATTACH_CENSUS,273,Used to provide high level employee specific data for accessing risk when submitting a request for proposal to the insurance carrier. Can also be used to communicate detailed plan subscriber and dependant data to the carrier who has agreed to provide coverage.	
Advisory Fee Adjustment,OLI_ATTACH_ADVFEEADJ,548,Used to provide instructions about an advisory fee adjustment	
Agency/Agent Contract Maintenance,OLI_ATTACH_AGCONTMAINT,236,	
Agency/Agent Termination,OLI_ATTACH_AGTERM,237,	
AgencyAgent License Maintenance,OLI_ATTACH_AGLICMAINT,238,	
Agent Reimbursement for APS,OLI_ATTACH_APSAGTREIM,166,Documents related to reimbursing an agent who has paid for an Attending Physician Statement	
Alcohol Abuse Questionnaire/Supplement,OLI_ATTACH_QALCOHOL,135,Document used to gather more detailed information about applicant's use of alcohol reported in the application	
Amendment,OLI_ATTACH_AMEND,130,Document which amends the original terms of the application.	
Annuitization Authorization Form,OLI_ATTACH_ANNUITIZE,2550290,	
Annuity Application - IRI Compliant,OLI_ATTACH_ANNUITY_APPNAVACOMP,2550190,Formerly named "Annuity Application - NAVA Compliant"	
Annuity Application - Non IRI Compliant,OLI_ATTACH_ANNUITY_APP_NONNAVACOMP,2550200,Formerly named "Annuity Application - Non NAVA Compliant"	
Annuity Policy Contract,OLI_ATTACH_ANNUITYCONTRACT,2550400,	
Applicant Chest Pain Questionnaire/Supplement,OLI_ATTACH_QCHESTPAIN,132,Document used to gather more detailed information about applicant's chest pain reported in the application	
Applicant Diabetic Questionnaire/Supplement,OLI_ATTACH_QDIABETIC,134,Document used to gather more detailed information about applicant's diabetes reported in the application	
Application - Alternate Life Insurance Plan,OLI_ATTACH_ALTLIFEAPP,334,	
Application - Credit / Loan,OLI_ATTACH_CREDITAPP,335,	
Application - Group,OLI_ATTACH_GROUPAPP,336,	
Application - Health Coverage,OLI_ATTACH_HEALTHAPP,337,	
Application - Nominee Account,OLI_ATTACH_NAAPP,338,	
Application Overflow Form,OLI_ATTACH_APP_OVERFLOW,509,The Application Overflow Form is used to gather more detailed information about an applicant that doesn't fit on the standard application documents.	
Application - Payout Annuity,OLI_ATTACH_PAYANNUAPP,339,	
Application - Policy Change,OLI_ATTACH_POLCHGAPP,340,	
Applications/Enrollment Form - Employees,OLI_ATTACH_APPENROLL,320,Applications and enrollment forms for employees. This is typically included in a request for proposal to the insurance carrier.	
Applications/Enrollment Form - Employer,OLI_ATTACH_APPENROLLEMPL,491,Applications and enrollment forms for the employer. This is typically included in a request for proposal to the insurance carrier.	
Application - Signature Page,OLI_ATTACH_SIGNATUREAPP,341,	
Application - Social Insurance Number (SIN),OLI_ATTACH_SINAPP,342,	
Appointment - Authorization to Disclose,OLI_ATTACH_APPTDISCLOSE,215,	
Appointment - Broker Authorization,OLI_ATTACH_APPTBROKER,214,	
Appointment Copy in non pre-appointment states,OLI_ATTACH_APPTLICENSE,213,	
Appointment Documents for pre-appointment states,OLI_ATTACH_APPTPREAPPT,218,	
Appointment E & O,OLI_ATTACH_APPTEO,219,	
Appointment - General Correspondence,OLI_ATTACH_APPTGENCORR,217,	
Appointment - Producer Information Form,OLI_ATTACH_APPTPRODUCER,216,	
Arkansas Rule 82 Certificate,OLI_ATTACH_AKRULE82CERT,2550510,Certificate of satisfaction of Arkansas Rule 82 Annuity Training requirement prior to sale of annuities.	
Articles of Incorporation,OLI_ATTACH_ARTOFINCORP,537,These are the documents that were filed when the corporation was incorporated.	
As Originally Sold Illustration,OLI_ATTACH_ASORIGSOLDILLUS,7,	
Asset Rebalancing Form,OLI_ATTACH_ASSETREBAL,2550310,	
Assignment - absolute,OLI_ATTACH_ASSIGNABS,226,	
Assignment - Collateral,OLI_ATTACH_ASSIGNCOLL,228,	
Assignment of Commissions,OLI_ATTACH_COMMASSIGN,229,	
Assignment - Release,OLI_ATTACH_ASSIGNREL,227,	
Assumptions,OLI_ATTACH_ASSUMPTIONS,265,	
Attending Physician Statement,OLI_ATTACH_APSMD,163,Details of an applicant's medical history, provided by a physician	
Authorization,OLI_ATTACH_AUTH,239,When electronically ordering certain types of reports, a signed authorization form is required (in order to allow the service provider to obtain the requested information from the health care provider or similar source). There is a need to be able to attach an image of a signed authorization form to a 121 General Requirement Order transaction when ordering services that require such an authorization.	
Authorization - Credit Card,OLI_ATTACH_CREDCARDAUTH,343,	
Authorization for Non-Resident Tax Exemption,OLI_ATTACH_NRTAXA,346,	
Authorization - Motor Vehicle Report,OLI_ATTACH_MOTORVEHREP,344,Authorization from the policy owner/insured to enable the carrier to request a Motor Vehicle Report from the appropriate transportation authority within the province issuing the current driver's license.	
Authorization - Obtain / Release Information,OLI_ATTACH_RELINFO,345,	
Autopsy Report,OLI_ATTACH_AUTOPSY,243,A report which includes the details of the post-mortem examination. This report includes cause of death and factors related to the cause of death. It is used in claim processing when there are unusual circumstances surrounding the insured's death; additional death benefits such as accidental death benefits may be payable; \or when the death of the insured occurs during the policy contestable period.	
Aviation Questionnaire/Supplement,OLI_ATTACH_QAVIATION,136,Document used to gather more detailed information about applicant's participation in aviation reported in the application	
Backdate Notice,OLI_ATTACH_BACKDATE,127,Request that policy effective date be changed to an earlier date. Primarily used to Save Age	
Bank Correspondence,OLI_ATTACH_MONEYBANK,184,	
Benchmarking/Survey Results,OLI_ATTACH_BENCHMARK,266,	
Beneficiary Information,OLI_ATTACH_BENEFICIARYINFO,543,A Beneficiary Information form is used to collect detailed information about each beneficiary on a contract.	
Benefit Summary,OLI_ATTACH_BENESUMM,267,A summary of benefit information. This is usually a one page description of the plan highlights, but may be longer.	
Billing Statement,OLI_ATTACH_CARRIERINV,272,A monthly, quarterly or annual statement from the incumbent carrier or insurer that gives detailed enrollment and premium information.	
Blood & Urine Test Results, Electronic,OLI_ATTACH_LABSBLDURINE,168,Electronic results of tests performed on blood and urine specimens to ascertain the applicant's health.	
Blood Pressure Recheck,OLI_ATTACH_APSBLDPRESS,165,Additional blood pressure readings used to determine if abnormal results reflect a pattern or were an aberration	
Blood Test Results - Paper,OLI_ATTACH_LABSBLD,169,Results of tests performed on a blood specimen to ascertain the applicant's health.	
Broker Authorization,OLI_ATTACH_LICBRKERAUTH,221,Broker's authorization to the carrier, indicating their approval to proceed with the Licensing & Appointing process	
Broker Dealer of Record Change Form,OLI_ATTACH_BDOFRECCHGFORM,550,A form used to update the assigned broker dealer for the policy. Updating the broker dealer could also involve updating the assigned agent, modifying the ownership and beneficiary (due to custodial ownership instances).	
Broker of Record Letter,OLI_ATTACH_BROKER,268,	
Budget Information,OLI_ATTACH_BUDGET,269,	
Business Insurance Questionnaire/Supplement,OLI_ATTACH_QBUSINS,140,Document used to gather more detailed information when the insurance being applied for will be used for business purposes.	
Buyers Guide (Non-NAIC),OLI_ATTACH_BUYERS_GUIDE,2550450,	
California Pre-Sale Notice,OLI_ATTACH_CAPRESALE,2550185,Notice Prior to Senior Home Visit (per CA reg 789.10)	
Cancellation,OLI_ATTACH_DISBCANCEL,210,	
Carrier Contact Information,OLI_ATTACH_CARRIERCONT,270,	
Carrier Form,OLI_ATTACH_CARRIERFORM,271,	
Carrier Specific Application,OLI_ATTACH_CARRIERAPP,253,Application that is specific to a carrier who is not using the ACORD generic application. This code also represents a carrier's standard application as opposed to one with a shortened format and fewer questions. This may also be called a long application or a full application.	
Carrier Specific Express Application,OLI_ATTACH_EXPAPP,523,A carrier specific application having a shortened format with a reduced number of medical questions and fewer possible additional insureds. May also be called a short application.	
Cash on Delivery Check,OLI_ATTACH_MONEYCOD,181,	
Cash with App,OLI_ATTACH_MONEYCWA,180,	
Census - Ancillary,OLI_ATTACH_CENSUSANC,274,	
Census - Medical,OLI_ATTACH_CENSUSMED,275,	
Claim - Additional Claimants,OLI_ATTACH_ADDCLS,347,	
Claim - Claimant Statement,OLI_ATTACH_CLAIMSTAT,348,	
Claim - Critical Illness,OLI_ATTACH_CRITICALILLNESS,349,	
Claim - Declaration / Proof of Death,OLI_ATTACH_DEATHDEC,350,	
Claim - Drug Employee Reimbursement,OLI_ATTACH_DRUGEMPLCL,351,	
Claim Financial Investigation,OLI_ATTACH_FINANCIALINVESTIG,242,This contains additional financial details that were required for the case. This document is used to verify the financial loss (Income Loss) to a disabled insured.	
Claim - Foreign,OLI_ATTACH_FORIEGNCL,352,	
Claim - Healthcare Expenses,OLI_ATTACH_HEALTHCARE,353,	
Claim - Requirements,OLI_ATTACH_REQUIREMENTS,354,	
Claims - All,OLI_ATTACH_CLAIMS,276,A report from the current carrier or TPA that gives data on claims incurred or paid by the plan. This is typically included in a request for proposal to the insurance carrier.	
Claims - Large / Shock,OLI_ATTACH_CLAIMSLRGSHCK,488,A report containing claims data on claimants who have generated claims in excess of a stated dollar threshold. This is typically included in a request for proposal to the insurance carrier.	
Claims - Waiver,OLI_ATTACH_CLAIMSWVR,489,	
Client Identification - Age of Majority,OLI_ATTACH_AGEOFMAJORITYID,516,	
Client Identification - Birth Certificate,OLI_ATTACH_BIRTHCERT,355,	
Client Identification - Citizenship,OLI_ATTACH_CITIZENSHIPID,521,	
Client Identification - Driver's License,OLI_ATTACH_DRIVERSLIC,356,	
Client Identification - Member of Armed Forces,OLI_ATTACH_ARMEDFORCESID,520,	
Client Identification - Passport,OLI_ATTACH_PASSPORT,357,	
Client Identification - Work Permit,OLI_ATTACH_WORKPERMIT,358,	
Comment/Remark,OLI_ATTACH_COMMENT,2,Use for Comments or Form Remarks sections	
Commission, Single Case Agreement,OLI_ATTACH_COMMSCA,234,	
Commission Agreement - ACORD 785,OLI_ATTACH_COMMAGREE,277,	
Commission Agreement - NAILBA,OLI_ATTACH_COMMAGREEMNT,232,	
Commission Schedule,OLI_ATTACH_COMMSCHED,233,	
Commission Split,OLI_ATTACH_COMMSPLIT,231,	
Commission Statement,OLI_ATTACH_COMMSTATEMNT,235,	
Compensation Disclosure,OLI_ATTACH_COMDISCLOSURE,2550120,	
Completed Census Data,OLI_ATTACH_CENSUSDATA,279,	
Completed Proposal Form,OLI_ATTACH_PROPOSAL,280,	
Compliance,OLI_ATTACH_COMPLIANCE,278,	
Conditional Receipt,OLI_ATTACH_CONDRCPT,98,A receipt given when a payment accompanies an application for insurance. It provides that the coverage will be in force from the date of application, provided the insurer would have issued the coverage on the basis of the facts revealed on the application, medical examination and other usual sources of underwriting.	
Conditions,OLI_ATTACH_CONDITIONS,322,	
Confirmation of Agreements,OLI_ATTACH_CONFAGREE,281,	
Confirmation Statement,OLI_ATTACH_CONFSTATE,282,	
Conflicts of Interest Disclosure,OLI_ATTACH_CONFLICTS,2550130,	
Consulting Agreement,OLI_ATTACH_CONSULAGREE,283,	
Contract - additional info unknown,OLI_ATTACH_CONTRACT,284,	
Contracting - Application,OLI_ATTACH_CONTRAPP,359,	
Contracting - Bonus,OLI_ATTACH_BONUS,360,	
Contracting - Broker is a Business Entity,OLI_ATTACH_CORPENTITY,361,	
Contracting - Cancellation / Termination,OLI_ATTACH_TERMINATION,362,	
Contracting - Code of Conduct,OLI_ATTACH_CODEOFCOND,363,	
Contracting - E&O Certificate,OLI_ATTACH_EOCERT,364,	
Contributions/Pricing,OLI_ATTACH_CONTRIBUT,285,	
Coronary Artery Disease Questionnaire/Supplement,OLI_ATTACH_QCORONARY,131,Document used to gather more detailed information about applicant's coronary artery disease reported in the application	
Correspondence,OLI_ATTACH_CORRESP,286,This is a general attachment for generic correspondence where no further specificity is known.	
Correspondence from Agent,OLI_ATTACH_CORRFRMAGT,111,Document, other than a standardized form, used to communicate information from the Agent to the Carrier.	
Correspondence from General Agency,OLI_ATTACH_CORRFRMGA,110,Document, other than a standardized form, used to communicate information from the General Agency to the Carrier.	
Correspondence from Proposed Insured,OLI_ATTACH_CORRFRMPI,115,Document sent by the Proposed Insured to the Carrier.	
Correspondence from Provider,OLI_ATTACH_CORRFRMPROV,114,Document sent by an insurance service provider to the Carrier.	
Correspondence to Agent,OLI_ATTACH_CORRTOAGT,113,Document sent by the Carrier to the Agent. Could be a form, form letter, custom business letter or ad hoc communication.	
Correspondence to General Agency,OLI_ATTACH_CORRTOGA,112,Document sent by the Carrier to the General Agency. Could be a form, form letter, custom business letter or ad hoc communication.	
Credential,OLI_ATTACH_CREDENTIAL,2550005,Provides the value of a credential	
Credit Enhancement Disclosure Form,OLI_ATTACH_CREDITENH,2550233,	
Customer Confirmation Form,OLI_ATTACH_CUSTOMERCONFIRM,2550380,	
Customer Information Supplement,OLI_ATTACH_CUSTSUPPLEMENT,542,The customer information supplement is used to collect additional information such as income, liquidity needs, investment objectives and experience, and other suitability-related details used to assess product suitabilty.	
Customer Profile,OLI_ATTACH_CUSTPROFILE,2550015,Customer Profile Information	
Death Certificate,OLI_ATTACH_DEATHCERTIFICATE,527,	
Death Claim,OLI_ATTACH_DISBDEATHCLAIM,209,	
Delivery Coversheet,OLI_ATTACH_DELVRYCOVER,125,Coversheet used as a tool to communicate information from the producer to the carrier, that is attached to a delivery requirement.	
Disbursement Forms,OLI_ATTACH_DISBDISB,205,	
Disbursement - Loan,OLI_ATTACH_DISBLOAN,207,	
Disbursement - PUA Surrender,OLI_ATTACH_DISBPUASURR,206,	
Disbursement - Surrender,OLI_ATTACH_DISBSURR,203,	
Disbursement - Withdrawal,OLI_ATTACH_DISBWITHDRAW,204,	
Disclosure,OLI_ATTACH_DISCLOSURE,108,e.	
Disclosure Statement for Accelerated Benefits,OLI_ATTACH_DISCACCBENE,507,	
Disruption Report for Current Carrier,OLI_ATTACH_DISRUPTRP,287,	
Dividend Forms,OLI_ATTACH_DISBDIV,208,	
Document,OLI_ATTACH_DOC,1,	
Dollar Cost Averaging (DCA) Form,OLI_ATTACH_DCAREQ,2550320,	
Driving Report,OLI_ATTACH_DRIVERPT,176,	
Drug Use Questionnaire/Supplement,OLI_ATTACH_QDRUGUSE,144,Document used to gather more detailed information about applicant's use of drugs reported in the application	
Due Diligence,OLI_ATTACH_DUEDIL,288,	
Early Withdrawals on Annuity Proceeds Disclosure,OLI_ATTACH_EARLYWITH,2550216,Early Withdrawals on Annuity Proceeds Disclosure Statement	
Education Savings - Grant (CESG),OLI_ATTACH_CESG,365,	
Education Savings - Investment Application,OLI_ATTACH_INVESTMENTAPP,366,	
Education Savings - Tax,OLI_ATTACH_TAXEDUSAV,367,	
EKG Holter,OLI_ATTACH_EKGHOLTER,173,Results of special portable electrocardiogram test performed to ascertain applicant's cardiac health	
EKG Interpretation,OLI_ATTACH_EKGINTERP,172,Analysis of the results of electrocardiogram test performed to ascertain applicant's cardiac health	
EKG Tracing,OLI_ATTACH_EKGTRACE,171,Graphic results of electrocardiogram test performed to ascertain applicant's cardiac health	
Electronic Consent Form - Carrier,OLI_ATTACH_CARRCONSENT,2550020,	
Electronic Consent Form - Distributor,OLI_ATTACH_DISTCONSENT,2550030,	
Electronic Consent Form - Joint,OLI_ATTACH_JNTCONSENT,2550035,	
Electronic Funds Transfer (EFT) Form,OLI_ATTACH_EFTFORM,123,Authorization to draft or deposit funds to an account electronically.	
Electronic Health Record,OLI_ATTACH_EHR,533,The attachment is a representation of an Electronic Health Record (EHR). This may also be known as Electronic Medical Record (EMR).	
Electronic Inspection Report,OLI_ATTACH_ELECINSPECTIONRPT,549,Electronic Inspection report is a background report used by an Underwriting department to gain access to publicly available information about an applicant, such as criminal record, real property owned, bankruptcies, etc. Information provided in this report is often found on social media and other internet sources.	
Electronic Signature Summary,OLI_ATTACH_ELECSIGSUMMARY,506,The page or report used to summarize the data associated with electronic signatures (e-signatures) received as part of an application or authorization.	
Eligibility,OLI_ATTACH_ELIGIBL,289,	
E-Mail,OLI_ATTACH_EMAIL,4,	
Employee and/or Employer Contributions,OLI_ATTACH_EMPLCONTRIB,490,Details pertaining to the premium contribution levels made by the employee and/or employer. This is typically included in a request for proposal to the insurance carrier.	
Employee Communication Materials,OLI_ATTACH_EMPLOCOM,290,	
Employer-owned Life Ins Notice and Consent Form,OLI_ATTACH_NOTICECONSENT,505,Usually used pursuant to US IRS Form 8925 Report of Employer-Owned Life Insurance Contracts the policyholder must have a valid consent form for each insured employee.	
Examiner Note,OLI_ATTACH_EXAMINERNOTE,325,Note with instructions or additional information for the medical examiner.	
Exception Note,OLI_ATTACH_EXCEPTIONNOTE,15,	
Exchange/Rollover Transfer Form,OLI_ATTACH_EXCHANGE,2550360,	
Executive Report,OLI_ATTACH_EXECRP,291,	
Experience/Plan Utilization,OLI_ATTACH_EXPPLAN,293,	
Experience Information,OLI_ATTACH_EXPINFO,292,	
Face to Face Assessment,OLI_ATTACH_FACETOFACE,328,The Attachment is the result of a request for the results of the Face to Face Assessment	
FASB Study,OLI_ATTACH_FASB,294,Financial Accounting Standards Board (FASB)	
FATCA Entity Classification Declaration,OLI_ATTACH_FATCATAXCLASSENT,529,Document which captures the tax classification for an entity.FATCA is the U.S. Internal Revenue Service (IRS) Foreign Account Tax Compliance Act.	
FATCA Self-Certification,OLI_ATTACH_FATCATAXCLASSIND,530,Document which captures the tax classification for an individual.FATCA is the U.S. Internal Revenue Service (IRS) Foreign Account Tax Compliance Act.	
Financial - Bank Estate,OLI_ATTACH_BANKESTATE,368,	
Financial - Business Coverage,OLI_ATTACH_BUSCOV,369,	
Financial - Business Entity,OLI_ATTACH_BUSINESSENTITY,370,	
Financial - Buy/Sell Agreement Request/Requirement,OLI_ATTACH_BSR,371,Financial - Buy / Sell Agreement Request / Requirements	
Financial - Confidential Business Questionnaire,OLI_ATTACH_CONFIDENTIALQ,372,	
Financial - Divorce / Separation Agreement,OLI_ATTACH_DIVORCEAGR,373,	
Financial - Estate Planning,OLI_ATTACH_ESTATEPLANF,374,	
Financial - Gifted Property,OLI_ATTACH_GIFTEDPROP,375,	
Financial - Hardship,OLI_ATTACH_HARDSHIP,376,	
Financial - Personal Statement,OLI_ATTACH_PERSONALSTAT,377,	
Financial - Proposed Insured,OLI_ATTACH_PROPOSEDINS,378,	
Financial Questionnaire,OLI_ATTACH_QFINANCIAL,146,Document used to gather more information about the applicant's financial situation.	
Financial Report - Business,OLI_ATTACH_FINRPTBUS,150,Personal or corporate income statement, used to determine relationship between applicant's financial situation and amount of insurance requested.	
Financial Report - Personal,OLI_ATTACH_FINRPTPERS,149,Personal financial report, used to determine relationship between applicant's financial situation and amount of insurance requested.	
Financial - Trust for a Minor,OLI_ATTACH_TRUSTMINOR,379,	
Financial - Will,OLI_ATTACH_WILL,380,	
Fixed Annuity Profile,OLI_ATTACH_FAP,2550070,	
Footnote,OLI_ATTACH_FOOTNOTE,78,Additional variable information applicable to correspondence. This is a specific part of a document.	
Foreign Resident/Travel Questionnaire/Supplement,OLI_ATTACH_QFORTRAV,141,Document used to gather more detailed information about the applicant's non-citizen status and/or their intent to travel outside the US	
Form,OLI_ATTACH_FORM,5,	
Form 5500,OLI_ATTACH_F5500,295,Form 5500 Annual Return/Report of Employee Benefit Plan - jointly developed by the Department of Labor, Internal Revenue Service, and the Pension Benefit Guaranty Corporation.	
Formula,OLI_ATTACH_FORMULA,534,Used to specify a complex formula such as Market Value Adjustment (MVA) calculations or complex rider formulas.	
Full Liquidation Form,OLI_ATTACH_FULLLIQUIDATION,513,This is a form carriers use to process full liquidation requests.	
Fund Prospectus,OLI_ATTACH_FUNDPROSP,2550050,	
General description,OLI_ATTACH_GENDESC,264,	
General Note,OLI_ATTACH_GENERALNOTE,14,	
General VA Disclosure (Rule 2821),OLI_ATTACH_VADISCLOSURE,2550110,	
Government Allotment,OLI_ATTACH_GOVTALLOT,124,Document providing details for the use of funds taken from a government salary to pay premium	
Group - Employee Data Listing,OLI_ATTACH_EMPDATLIST,381,	
Group - Forfeiture of Benefits,OLI_ATTACH_FORFEITURE,382,	
Guaranteed Insurability Election Admin Rules,OLI_ATTACH_ELETIONADRULES,383,Guaranteed Insurability Election Administrative Rules	
Guaranty Association Notices,OLI_ATTACH_GUARANTYNOTICE,2550420,	
Health Statement,OLI_ATTACH_HLTHSTMNT,129,Document attesting to the continuing good health of the applicant. Used either in lieu of a physical exam or when it has been a while since the original application was received. Time interval is carrier specific.	
HIPAA Authorization,OLI_ATTACH_HIPAAAUTH,487,A form required by the USA Health Insurance Portability and Accountability Act in which an individual provides his/her signed permission to allow a covered entity to use or disclose the individual's protected health information (PHI) that is described in the authorization for the purpose(s) and to the recipient(s) stated in the authorization.	
Home Office Specimen,OLI_ATTACH_HOS,329,The Attachment is the result of a request for the analytic results of the Home Office Specimen	
IAI data,OLI_ATTACH_IAIDATA,21,Data associated with this attachment contain the results of an IAI Search	
Implementation Timeline,OLI_ATTACH_IMPLEM,296,Details about the implementation timeline in regards to a request for proposal to the insurance carrier.	
Income Statement,OLI_ATTACH_INCSTMNT,148,Personal or corporate income statement, used to determine relationship between applicant's financial situation and amount of insurance requested.	
Independent Medical Examiner Report,OLI_ATTACH_INDEPDENTMEDEXAMNER,241,A report that is completed by a Medical Examiner, by the request of the insurance carrier. The Medical Examiner has no prior relationship with the insured. The insurance company .Report requested by the insurance company of an independent medical examiner for a claim. This document that contains information regarding a specified disability or condition with regards to a claim. This is a common requested report for claims that are long term or life long disabilities.	
Indexed Annuity profile,OLI_ATTACH_IAP,2550080,	
In-Force Address Change,OLI_ATTACH_POSADDRCHNG,201,	
In-Force Amendment,OLI_ATTACH_POSAMEND,198,	
In-Force Audit Request,OLI_ATTACH_POSAUDREQ,192,	
In-Force Beneficiary Change,OLI_ATTACH_POSBENECHNG,189,	
In-Force Complex Transaction,OLI_ATTACH_POSCOMLPEXTRAN,193,	
In-Force Conversion,OLI_ATTACH_POSCONVERT,196,	
In-Force Duplicate Policy Request,OLI_ATTACH_POSDUPPOL,194,	
In-Force Face Amount Change,OLI_ATTACH_POSFACECHNG,197,	
In-Force Name Change,OLI_ATTACH_POSNAMECHNG,190,	
In-Force Non-Financial Change,OLI_ATTACH_POSNONFINCHNG,186,	
In-Force Non-Financial Transaction,OLI_ATTACH_POSNONFIN,185,	
In-Force Owner Change,OLI_ATTACH_POSOWNCHNG,188,	
In-Force Premium Change,OLI_ATTACH_POSPREMCHNG,191,	
In-Force Rate Reduction,OLI_ATTACH_POSRATERED,199,	
In-Force Reinstatement Request,OLI_ATTACH_POSREINSTATE,202,	
In-Force Reissue,OLI_ATTACH_POSREISS,195,	
In-Force Rider Change,OLI_ATTACH_POSRIDERCHNG,200,	
In-Force Servicing Agent Change,OLI_ATTACH_POSSERVAGTCHNG,187,	
Information - Product Page,OLI_ATTACH_PRODUCTOPAGE,384,	
Inspection,OLI_ATTACH_INSPECTION,24,Data associated with this attachment contain the results of an Inspection	
Inspection Reason,OLI_ATTACH_INSPREASON,260,Attachment contains information derived from an inspection report that might be used as reasons for modifying or rejecting a policy. This information is typically used for Fair Credit letters.	
Inspection Report - Business Beneficiary,OLI_ATTACH_INSPBUSBENE,179,	
Inspection Report - Credit,OLI_ATTACH_INSPCREDIT,178,	
Inspection Report - Personal,OLI_ATTACH_INSPPERS,177,	
