value,key,tc
HEMATOLOGY/PATHOLOGY,OLI_PHYSPEC_HMP,59
HEPATOLOGY,OLI_PHYSPEC_HEP,58
IM - CARDIAC ELECTROPHYSIOLOGY,OLI_PHYSPEC_ICE,67
IM - DIAGNOSTIC LAB IMMUNOLOGY,OLI_PHYSPEC_ILI,71
IMMUNOLOGY,OLI_PHYSPEC_IG,70
INFECTIOUS DISEASES,OLI_PHYSPEC_ID,68
INTERNAL MEDICINE,OLI_PHYSPEC_IM,72
INTERNAL MEDICINE - EMERGENCY MED,OLI_PHYSPEC_MEM,78
INTERNAL MEDICINE - FAMILY PRACTICE,OLI_PHYSPEC_IFP,69
INTERNAL MEDICINE - GERIATRICS,OLI_PHYSPEC_IMG,73
INTERNAL MEDICINE NEUROLOGY,OLI_PHYSPEC_MN,82
INTERNAL MEDICINE PEDIATRICS,OLI_PHYSPEC_MPD,84
INTERNAL MEDICINE PHYSICAL MEDICINE AND REHAB,OLI_PHYSPEC_MPM,85
INTERNAL MEDICINE - PREVENTIVE MED,OLI_PHYSPEC_IPM,74
INTERNAL MEDICINE PSYCHIATRY,OLI_PHYSPEC_MP,83
INTERNAL MEDICINE - SPORTS MED,OLI_PHYSPEC_ISM,75
INTERVENTIONAL CARDIOLOGY,OLI_PHYSPEC_IC,66
LEGAL MEDICINE,OLI_PHYSPEC_LM,76
MATERNAL & FETAL MEDICINE,OLI_PHYSPEC_MFM,79
MEDICAL GENETICS,OLI_PHYSPEC_MG,80
MEDICAL MANAGEMENT,OLI_PHYSPEC_MDM,77
MEDICAL MICROBIOLOGY,OLI_PHYSPEC_MM,81
MUSCULOSKELETAL RADIOLOGY,OLI_PHYSPEC_MSR,86
NEONATAL-PERINATAL MEDICINE,OLI_PHYSPEC_NPM,93
NEPHROLOGY,OLI_PHYSPEC_NEP,89
NEURODEVELOPMENTAL DISABILITIES,OLI_PHYSPEC_NDN,88
NEUROLOGICAL SURGERY,OLI_PHYSPEC_NS,96
NEUROLOGY,OLI_PHYSPEC_N,87
NEUROLOGY/DIAGNOSTIC RADIOLOGY/NEURORADIOLOGY,OLI_PHYSPEC_NRN,95
NEUROPATHOLOGY,OLI_PHYSPEC_NP,92
NEURORADIOLOGY,OLI_PHYSPEC_RNR,161
NUCLEAR MEDICINE,OLI_PHYSPEC_NM,90
NUCLEAR RADIOLOGY,OLI_PHYSPEC_NR,94
NUTRITION,OLI_PHYSPEC_NTR,98
OBSTETRICS,OLI_PHYSPEC_OBS,101
OBSTETRICS/GYN CRITICAL CARE,OLI_PHYSPEC_OCC,102
OBSTETRICS & GYNECOLOGY,OLI_PHYSPEC_OBG,100
OCCUPATIONAL MEDICINE,OLI_PHYSPEC_OM,104
ONCOLOGY,OLI_PHYSPEC_ON,107
OPHTHALMOLOGY,OLI_PHYSPEC_OPH,109
OPHTHALMOLOGY/PEDIATRICS,OLI_PHYSPEC_PO,145
ORTHOPAEDIC SURGERY OF SPINE,OLI_PHYSPEC_OSS,112
ORTHOPEDIC ADULT RECON SURGERY,OLI_PHYSPEC_OAR,99
ORTHOPEDIC MUSCULO ONCOLOGY,OLI_PHYSPEC_OMO,106
ORTHOPEDIC PEDIATRIC SURGERY,OLI_PHYSPEC_OP,108
ORTHOPEDICS (FOOT & ANKLE),OLI_PHYSPEC_OFA,103
ORTHOPEDIC SPORTS MEDICINE,OLI_PHYSPEC_OSM,111
ORTHOPEDIC SURGERY,OLI_PHYSPEC_ORS,110
ORTHOPEDIC SURGERY - TRAUMA,OLI_PHYSPEC_OTR,114
OSTEOPATHIC MANIPULATIVE MEDICINE,OLI_PHYSPEC_OMM,105
Other,OLI_OTHER,2147483647
OTOLARYNGOLOGY,OLI_PHYSPEC_OTO,113
OTOLOGY - NEUROTOLOGY,OLI_PHYSPEC_NO,91
PAIN MEDICINE,OLI_PHYSPEC_PMD,141
PALLIATIVE MEDICINE,OLI_PHYSPEC_PLM,139
PATHOLOGY - ANATOMIC/CLINICAL,OLI_PHYSPEC_PTH,152
PATHOLOGY - CHEMICAL,OLI_PHYSPEC_PCH,119
PATHOLOGY - CYTOPATHOLOGY,OLI_PHYSPEC_PCP,120
PEDIATRIC ALLERGY,OLI_PHYSPEC_PDA,123
PEDIATRIC ANESTHESIOLOGY,OLI_PHYSPEC_PAN,117
PEDIATRIC CARDIOLOGY,OLI_PHYSPEC_PDC,124
PEDIATRIC CARIOTHORACIC SURGERY,OLI_PHYSPEC_PCS,121
PEDIATRIC EMERGENCY MEDICINE (EM),OLI_PHYSPEC_PE,132
PEDIATRIC EMERGENCY MEDICINE (PED),OLI_PHYSPEC_PEM,133
PEDIATRIC ENDOCRINOLOGY,OLI_PHYSPEC_PDE,125
PEDIATRIC GASTROENTEROLOGY,OLI_PHYSPEC_PG,135
PEDIATRIC HEMATOLOGY ONCOLOGY,OLI_PHYSPEC_PHO,137
PEDIATRIC INFECTIOUS DISEASES,OLI_PHYSPEC_PDI,126
PEDIATRIC MEDICAL TOXICOLOGY,OLI_PHYSPEC_PDT,131
PEDIATRIC NEPHROLOGY,OLI_PHYSPEC_PN,144
PEDIATRIC NEUROLOGICAL SURGERY,OLI_PHYSPEC_NSP,97
PEDIATRIC OTOLARYNGOLOGY,OLI_PHYSPEC_PDO,127
PEDIATRIC PATHOLOGY,OLI_PHYSPEC_PP,146
PEDIATRIC PULMONOLOGY,OLI_PHYSPEC_PDP,128
PEDIATRIC RADIOLOGY,OLI_PHYSPEC_PDR,129
PEDIATRIC REHAB MEDICINE,OLI_PHYSPEC_PRM,148
PEDIATRIC RHEUMATOLOGY,OLI_PHYSPEC_PPR,147
PEDIATRICS,OLI_PHYSPEC_PD,122
PEDIATRICS/DIAG LAB IMMUNOLOGY,OLI_PHYSPEC_PLI,138
PEDIATRICS - EMERGENCY MEDICINE,OLI_PHYSPEC_EMP,39
PEDIATRICS - PHYSICAL MED REHAB,OLI_PHYSPEC_PMP,143
PEDIATRIC SPORTS MEDICINE,OLI_PHYSPEC_PSM,151
PEDIATRICS - PSYCHIATRY,OLI_PHYSPEC_CPP,29
PEDIATRIC SURGERY,OLI_PHYSPEC_PDS,130
PEDIATRIC UROLOGY,OLI_PHYSPEC_UP,173
PHARMACEUTICAL MEDICINE,OLI_PHYSPEC_PHM,136
PHARMACOLOGY - CLINICAL,OLI_PHYSPEC_PA,116
PHYSICAL MEDICINE & REHAB,OLI_PHYSPEC_PM,140
PLASTIC SURGERY,OLI_PHYSPEC_PS,150
PREVENTIVE MEDICAL TOXICOLOGY,OLI_PHYSPEC_PTX,153
PROTOCOLGY,OLI_PHYSPEC_PRO,149
PSYCHIATRY,OLI_PHYSPEC_P,115
PSYCHIATRY - FAMILY PRACTICE,OLI_PHYSPEC_FPP,48
PSYCHIATRY - NEUROLOGY,OLI_PHYSPEC_PYN,157
PSYCHOANALYSIS,OLI_PHYSPEC_PYA,155
PULMONARY CRITICAL CARE MED.,OLI_PHYSPEC_PCC,118
PULMONARY DISEASE,OLI_PHYSPEC_PUD,154
RADIATION ONCOLOGY,OLI_PHYSPEC_RO,162
RADIOLOGICAL PHYSICS,OLI_PHYSPEC_RP,163
RADIOLOGY,OLI_PHYSPEC_R,158
REPRODUCTIVE ENDOCRINOLOGY,OLI_PHYSPEC_REN,159
RHEUMATOLOGY,OLI_PHYSPEC_RHU,160
SELECTIVE PATHOLOGY,OLI_PHYSPEC_SP,167
SLEEP MEDICINE,OLI_PHYSPEC_SM,165
SPINAL CORD INJURY,OLI_PHYSPEC_SCI,164
SPORTS MEDICINE,OLI_PHYSPEC_PMM,142
SURGICAL ONCOLOGY,OLI_PHYSPEC_SO,166
THORACIC SURGERY,OLI_PHYSPEC_TS,169
TRANSPLANT SURGERY,OLI_PHYSPEC_TTS,170
TRAUMATIC SURGERY,OLI_PHYSPEC_TRS,168
UNDERSEA MEDICINE,OLI_PHYSPEC_UM,172
Unknown,OLI_UNKNOWN,0
UROLOGICAL SURGERY,OLI_PHYSPEC_U,171
VASCULAR & INTERVENTIONAL RAD,OLI_PHYSPEC_VIR,174
VASCULAR MEDICINE,OLI_PHYSPEC_VM,175
VASCULAR SURGERY,OLI_PHYSPEC_VS,176


